record_id,incident_date,incident_time,chainage_km,milestone_marker,direction,corridor_zone,district,police_station,nearest_landmark,severity,fatalities,injuries,primary_cause,weather_condition,road_condition,source_reference,matched_segment_id,matched_segment_chainage_start,matched_segment_chainage_end,matched_road_class,latitude,longitude,match_distance_m,match_method,match_confidence,geometry,assigned_weather_node,weather_timestamp_utc,weather_timestamp_ist,temperature_c,dew_point_c,relative_humidity_pct,precipitation_rate_mm_day,precipitation_mm_hr,wind_speed_ms,surface_pressure_kpa,dew_point_depression_c,derived_fog_indicator,derived_fog_risk_score,weather_alignment_status
YE_ACC_2021_011,2021-09-12,03:10,62.0,Km 62,SB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Mid-block Rural Straight,Grievous Injury,0,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_065,61.965,63.005,motorway,27.916868185921942,77.64081942308282,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\x112x/\x03iS@\x10G\x99\xdf\xb7\xea;@',WN_03_TAPPAL,2021-09-11 22:00:00,2021-09-12 03:30:00,25.97,25.4,96.55,19.37,0.8071,3.73,98.09,0.57,LOW_FOG_RISK,0.3,EXACT_HOUR_ALIGNED
YE_ACC_2021_012,2021-10-05,22:45,115.3,Km 115,NB,Zone 3 (Mathura - Agra),Mathura,Raya,Baldeo Exit,Fatal,2,2,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_056,49.564,50.513,motorway,27.403375886888725,77.79930882158438,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,"b""\x01\x01\x00\x00\x00\xfd\x060\xe0'sS@\x9c.b\xa4Cg;@""",WN_04_MATHURA_RAYA,2021-10-05 17:00:00,2021-10-05 22:30:00,30.95,24.98,70.68,2.33,0.0971,1.75,98.55,5.97,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_013,2021-11-20,06:00,18.5,Km 18,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,Dankaur Rest Stop,Fatal,1,5,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_019,18.248,19.471,motorway,28.291336011376536,77.56115626222716,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\x85\x8d\xf4\xfb\xe9cS@b\x021\xff\x94J<@',WN_02_JEWAR,2021-11-20 01:00:00,2021-11-20 06:30:00,18.24,6.78,47.05,0.0,0.0,0.66,98.84,11.46,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_014,2021-12-14,04:15,95.0,Km 95,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Mathura Toll Plaza Barrier,Fatal,2,6,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_099,94.918,96.021,motorway,27.65755719424527,77.73307196388762,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\xc2\xa0\xab\xa6\xeanS@p\x88\x14\xabU\xa8;@',WN_04_MATHURA_RAYA,2021-12-13 23:00:00,2021-12-14 04:30:00,10.73,5.61,70.47,0.0,0.0,2.96,99.51,5.12,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2021_015,2021-12-28,05:30,132.8,Km 133,NB,Zone 3 (Mathura - Agra),Agra,Khandauli,Sadabad Flyover,Fatal,4,8,Fog Pileup,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_038,31.772,32.714,motorway,27.316480398274088,77.93817682080464,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00(\xce\xca\x16\x0b|S@\x8ai\x00\xdc\x04Q;@',WN_05_AGRA_KUBERPUR,2021-12-28 00:00:00,2021-12-28 05:30:00,14.07,9.14,72.08,1.56,0.065,1.97,99.91,4.93,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_016,2022-01-09,03:30,14.8,Km 15,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,EPE Interchange Ramp,Fatal,1,2,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_161,149.895,150.912,motorway,28.240216782374596,77.5681046,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00Bme\xd3[dS@\xce?\xd8\xd8~=<@',WN_02_JEWAR,2022-01-08 22:00:00,2022-01-09 03:30:00,15.06,14.65,97.22,25.18,1.0492,3.77,99.25,0.41,LOW_FOG_RISK,0.3,EXACT_HOUR_ALIGNED
YE_ACC_2022_017,2022-02-18,04:45,38.2,Km 38,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Toll Plaza Lanes,Fatal,2,3,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_041,38.075,38.583,motorway,28.115320256941953,77.57563043786702,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00%N\x0c!\xd7dS@\xcb!\xdc\xa0\x85\x1d<@',WN_02_JEWAR,2022-02-17 23:00:00,2022-02-18 04:30:00,12.75,5.23,60.09,0.0,0.0,3.25,98.87,7.52,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_018,2022-03-29,15:10,72.4,Km 72,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Approach,Minor Injury,0,1,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_075,71.651,72.643,motorway,27.853172712563246,77.71389326893868,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00F\xbbdm\xb0mS@{L\xe2\x86i\xda;@',WN_03_TAPPAL,2022-03-29 10:00:00,2022-03-29 15:30:00,38.39,0.73,9.42,0.0,0.0,2.81,98.49,37.66,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_019,2022-04-14,23:40,103.5,Km 104,NB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya Interchange Slip,Grievous Injury,0,4,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_068,61.452,62.517,motorway,27.504448943097483,77.7792394319401,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\xed\xfb\x10\x0f\xdfqS@\xff\x1a\xe1\x90#\x81;@',WN_04_MATHURA_RAYA,2022-04-14 18:00:00,2022-04-14 23:30:00,35.36,3.26,13.4,0.0,0.0,1.94,97.95,32.1,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_020,2022-05-22,14:00,121.0,Km 121,SB,Zone 3 (Mathura - Agra),Mathura,Mahavan,Mahavan Overbridge,Fatal,1,2,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_124,120.144,121.091,motorway,27.43286778246911,77.780905155653,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\xad3\x9eY\xfaqS@f2Il\xd0n;@',WN_04_MATHURA_RAYA,2022-05-22 09:00:00,2022-05-22 14:30:00,39.6,4.72,11.77,0.0,0.0,3.14,97.56,34.88,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_021,2022-06-11,02:20,5.2,Km 5,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Beta-2,Pari Chowk Entry Curve,Grievous Injury,0,3,Drunken Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_005,4.233,5.291,motorway,28.405710902857376,77.52115920453738,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,"b'\x01\x01\x00\x00\x00\xd6\xdf""\xacZaS@/gs\xab\xdcg<@'",WN_01_GREATER_NOIDA,2022-06-10 21:00:00,2022-06-11 02:30:00,34.32,7.61,19.24,0.0,0.0,3.78,97.38,26.71,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_022,2022-07-19,19:15,48.6,Km 49,NB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Tappal Service Entry,Fatal,1,1,Stationary Vehicle Collision,Rainy,Wet,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_124,115.539,116.517,motorway,27.947458738721096,77.6203788402756,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00N\x87sI\xb4gS@\xd4\x1d\xe9\xa7\x8c\xf2;@',WN_03_TAPPAL,2022-07-19 14:00:00,2022-07-19 19:30:00,42.2,21.17,30.26,0.77,0.0321,0.17,97.38,21.03,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_023,2022-08-30,03:50,86.0,Km 86,SB,Zone 2 (Jewar - Mathura),Mathura,Surir,Surir Canal Bridge,Fatal,2,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_089,85.54,86.532,motorway,27.73645215784855,77.72090303847993,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\xefv\x7fF#nS@5\x07\xed \x88\xbc;@',WN_04_MATHURA_RAYA,2022-08-29 22:00:00,2022-08-30 03:30:00,26.76,23.13,80.4,3.99,0.1663,3.08,98.7,3.63,LOW_FOG_RISK,0.3,EXACT_HOUR_ALIGNED
YE_ACC_2022_024,2022-09-17,11:30,162.0,Km 162,NB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Inner Ring Road Junction,Minor Injury,0,2,Negligent Lane Change,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_006,2.983,3.899,motorway,27.145537680563276,78.10566787376415,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\x83\x83/C\xc3\x86S@\xdfZ\x1a\xf5A%;@',WN_05_AGRA_KUBERPUR,2022-09-17 06:00:00,2022-09-17 11:30:00,25.07,23.57,91.25,1.08,0.045,3.0,98.23,1.5,MODERATE_FOG_RISK,0.65,EXACT_HOUR_ALIGNED
YE_ACC_2022_025,2022-10-24,21:00,108.2,Km 108,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Vrindavan Cut,Fatal,1,3,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_112,107.719,109.181,motorway,27.54234132007915,77.75716844185747,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\xd5\xd5\x9frupS@i\x02y\xe1\xd6\x8a;@',WN_04_MATHURA_RAYA,2022-10-24 16:00:00,2022-10-24 21:30:00,26.05,18.26,62.76,0.0,0.0,2.02,98.72,7.79,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_026,2022-11-15,04:20,139.5,Km 140,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Khandauli Approach,Fatal,3,5,Fog / Poor Visibility,Moderate Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_143,138.764,139.775,motorway,27.317102977342238,77.95494780526492,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\xfd?f\xdd\x1d}S@.&%\xa9-Q;@',WN_05_AGRA_KUBERPUR,2022-11-14 23:00:00,2022-11-15 04:30:00,17.46,12.69,73.5,0.0,0.0,2.29,99.61,4.77,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_027,2022-12-08,05:10,29.0,Km 29,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Jewar Airport North Cut,Fatal,1,2,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_144,135.88,136.382,motorway,28.113109619506957,77.57450124822591,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\x0e)\xe2\xa0\xc4dS@8\xa5\x84\xc0\xf4\x1c<@',WN_02_JEWAR,2022-12-08 00:00:00,2022-12-08 05:30:00,9.74,4.36,69.04,0.0,0.0,3.42,99.24,5.38,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2022_028,2022-12-21,06:30,81.4,Km 81,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Toll Zone,Fatal,2,7,Fog Multi-Vehicle Crash,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_084,80.579,81.571,motorway,27.776457905158818,77.71576210538237,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00V\x95\xdc\x0b\xcfmS@\xb7`\xfd\xf1\xc5\xc6;@',WN_04_MATHURA_RAYA,2022-12-21 01:00:00,2022-12-21 06:30:00,10.33,3.65,63.07,0.0,0.0,2.38,99.21,6.68,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2023_029,2023-01-16,04:00,14.0,Km 14,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,EPE Flyover,Fatal,1,3,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_015,13.978,14.887,motorway,28.33046184017132,77.548943602081,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00S\x92X\xe4!cS@\x9f\x1c\xac%\x99T<@',WN_01_GREATER_NOIDA,2023-01-15 23:00:00,2023-01-16 04:30:00,4.35,-5.38,48.47,0.0,0.0,3.45,99.13,9.73,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2023_030,2023-02-20,02:45,36.0,Km 36,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Hub,Grievous Injury,0,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_137,128.73,129.961,motorway,28.053674908931985,77.58399536891112,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00G\x9f\x1c.`eS@\x89z\x8a\xa3\xbd\r<@',WN_03_TAPPAL,2023-02-19 21:00:00,2023-02-20 02:30:00,20.53,4.83,35.62,0.0,0.0,1.98,99.14,15.7,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2023_031,2023-03-15,13:50,92.5,Km 93,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Mathura Toll Approach,Minor Injury,0,2,Tyre Burst,Sunny,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_096,92.484,93.476,motorway,27.680060360233927,77.73439834051844,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\xdb\xb0\xe5a\x00oS@\xbd\x82\x8eo\x18\xae;@',WN_04_MATHURA_RAYA,2023-03-15 08:00:00,2023-03-15 13:30:00,26.4,9.02,33.3,0.0,0.0,3.01,98.98,17.38,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2023_032,2023-04-18,22:15,148.0,Km 148,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Agra Toll Plaza Entry,Fatal,1,2,Stationary Truck Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_153,147.495,148.559,motorway,27.30887073898499,77.98665961506249,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,"b""\x01\x01\x00\x00\x00\x8d\xbe^n%\x7fS@\xc3\xa1\x1a'\x12O;@""",WN_05_AGRA_KUBERPUR,2023-04-18 17:00:00,2023-04-18 22:30:00,38.42,7.75,15.53,0.0,0.0,2.87,98.66,30.67,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2023_033,2023-05-27,15:30,65.0,Km 65,NB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Aligarh Border Straight,Minor Injury,0,1,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_108,99.811,100.802,motorway,27.837699920261958,77.72472929479507,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00E\xe6\xfa\xf6anS@\rc\x81\x80s\xd6;@',WN_03_TAPPAL,2023-05-27 10:00:00,2023-05-27 15:30:00,35.69,18.29,35.92,0.06,0.0025,4.03,98.35,17.4,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
YE_ACC_2023_034,2023-06-30,03:15,103.0,Km 103,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya Cut,Fatal,2,3,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_106,102.216,103.179,motorway,27.587146445729765,77.74917742217501,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00+\xc9\xdb\x85\xf2oS@:_\xbe:O\x96;@',WN_04_MATHURA_RAYA,2023-06-29 22:00:00,2023-06-30 03:30:00,29.43,26.33,83.38,14.21,0.5921,1.72,97.87,3.1,LOW_FOG_RISK,0.3,EXACT_HOUR_ALIGNED
YE_ACC_2023_035,2023-07-22,17:40,22.0,Km 22,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Dankaur South,Grievous Injury,0,3,Rain / Hydroplaning,Heavy Rain,Wet,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_022,21.507,22.524,motorway,28.260555255129052,77.56818402510036,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE,b'\x01\x01\x00\x00\x00\x9bz\x87 ]dS@\x89\x94\xcb\xbf\xb3B<@',WN_02_JEWAR,2023-07-22 12:00:00,2023-07-22 17:30:00,35.1,25.32,56.97,0.06,0.0025,6.24,98.15,9.78,CLEAR_OR_NO_FOG,0.0,EXACT_HOUR_ALIGNED
