record_id,incident_date,incident_time,chainage_km,milestone_marker,direction,corridor_zone,district,police_station,nearest_landmark,severity,fatalities,injuries,primary_cause,weather_condition,road_condition,source_reference,matched_segment_id,matched_segment_chainage_start,matched_segment_chainage_end,matched_road_class,latitude,longitude,match_distance_m,match_method,match_confidence
YE_ACC_2021_013,2021-11-20,06:00,18.5,Km 18,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,Dankaur Rest Stop,Fatal,1,5,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_019,18.248,19.471,motorway,28.291336011376536,77.56115626222716,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_014,2021-12-14,04:15,95.0,Km 95,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Mathura Toll Plaza Barrier,Fatal,2,6,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_099,94.918,96.021,motorway,27.65755719424527,77.73307196388762,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2021_015,2021-12-28,05:30,132.8,Km 133,NB,Zone 3 (Mathura - Agra),Agra,Khandauli,Sadabad Flyover,Fatal,4,8,Fog Pileup,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_038,31.772,32.714,motorway,27.316480398274088,77.93817682080464,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_016,2022-01-09,03:30,14.8,Km 15,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,EPE Interchange Ramp,Fatal,1,2,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_161,149.895,150.912,motorway,28.240216782374596,77.5681046,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_017,2022-02-18,04:45,38.2,Km 38,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Toll Plaza Lanes,Fatal,2,3,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_041,38.075,38.583,motorway,28.115320256941953,77.57563043786702,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_018,2022-03-29,15:10,72.4,Km 72,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Approach,Minor Injury,0,1,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_075,71.651,72.643,motorway,27.853172712563246,77.71389326893868,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_019,2022-04-14,23:40,103.5,Km 104,NB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya Interchange Slip,Grievous Injury,0,4,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_068,61.452,62.517,motorway,27.504448943097483,77.7792394319401,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_020,2022-05-22,14:00,121.0,Km 121,SB,Zone 3 (Mathura - Agra),Mathura,Mahavan,Mahavan Overbridge,Fatal,1,2,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_124,120.144,121.091,motorway,27.43286778246911,77.780905155653,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_021,2022-06-11,02:20,5.2,Km 5,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Beta-2,Pari Chowk Entry Curve,Grievous Injury,0,3,Drunken Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_005,4.233,5.291,motorway,28.405710902857376,77.52115920453738,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_022,2022-07-19,19:15,48.6,Km 49,NB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Tappal Service Entry,Fatal,1,1,Stationary Vehicle Collision,Rainy,Wet,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_124,115.539,116.517,motorway,27.947458738721096,77.6203788402756,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_023,2022-08-30,03:50,86.0,Km 86,SB,Zone 2 (Jewar - Mathura),Mathura,Surir,Surir Canal Bridge,Fatal,2,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_089,85.54,86.532,motorway,27.73645215784855,77.72090303847993,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_024,2022-09-17,11:30,162.0,Km 162,NB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Inner Ring Road Junction,Minor Injury,0,2,Negligent Lane Change,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_006,2.983,3.899,motorway,27.145537680563276,78.10566787376415,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_025,2022-10-24,21:00,108.2,Km 108,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Vrindavan Cut,Fatal,1,3,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_112,107.719,109.181,motorway,27.54234132007915,77.75716844185747,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_026,2022-11-15,04:20,139.5,Km 140,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Khandauli Approach,Fatal,3,5,Fog / Poor Visibility,Moderate Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_143,138.764,139.775,motorway,27.317102977342238,77.95494780526492,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_027,2022-12-08,05:10,29.0,Km 29,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Jewar Airport North Cut,Fatal,1,2,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_144,135.88,136.382,motorway,28.113109619506957,77.57450124822591,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2022_028,2022-12-21,06:30,81.4,Km 81,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Toll Zone,Fatal,2,7,Fog Multi-Vehicle Crash,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_084,80.579,81.571,motorway,27.776457905158818,77.71576210538237,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_029,2023-01-16,04:00,14.0,Km 14,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,EPE Flyover,Fatal,1,3,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_015,13.978,14.887,motorway,28.33046184017132,77.548943602081,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_030,2023-02-20,02:45,36.0,Km 36,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Hub,Grievous Injury,0,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_137,128.73,129.961,motorway,28.053674908931985,77.58399536891112,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_031,2023-03-15,13:50,92.5,Km 93,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Mathura Toll Approach,Minor Injury,0,2,Tyre Burst,Sunny,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_096,92.484,93.476,motorway,27.680060360233927,77.73439834051844,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_032,2023-04-18,22:15,148.0,Km 148,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Agra Toll Plaza Entry,Fatal,1,2,Stationary Truck Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_153,147.495,148.559,motorway,27.30887073898499,77.98665961506249,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_033,2023-05-27,15:30,65.0,Km 65,NB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Aligarh Border Straight,Minor Injury,0,1,Tyre Burst,Sunny / Extreme Heat,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_108,99.811,100.802,motorway,27.837699920261958,77.72472929479507,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_034,2023-06-30,03:15,103.0,Km 103,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya Cut,Fatal,2,3,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_106,102.216,103.179,motorway,27.587146445729765,77.74917742217501,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_035,2023-07-22,17:40,22.0,Km 22,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Dankaur South,Grievous Injury,0,3,Rain / Hydroplaning,Heavy Rain,Wet,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_022,21.507,22.524,motorway,28.260555255129052,77.56818402510036,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_036,2023-08-14,01:30,126.5,Km 127,NB,Zone 3 (Mathura - Agra),Mathura,Mahavan,Mahavan Flyover,Fatal,1,1,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_044,37.61,38.584,motorway,27.333666361794943,77.8747626257705,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_037,2023-09-09,19:00,163.5,Km 164,NB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Kuberpur Merge,Minor Injury,0,2,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_004,1.45,2.066,motorway,27.136911514702906,78.09404230956511,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_038,2023-10-12,23:50,47.0,Km 47,SB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Tappal Interchange Approach,Fatal,1,4,Stationary Vehicle,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_050,46.954,48.132,motorway,28.04181248524839,77.59225790324822,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_039,2023-11-25,05:45,138.0,Km 138,NB,Zone 3 (Mathura - Agra),Agra,Khandauli,Khandauli North,Fatal,2,5,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_NB_032,26.931,27.995,motorway,27.311310302161246,77.98167041279994,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
YE_ACC_2023_040,2023-12-19,06:15,88.0,Km 88,SB,Zone 2 (Jewar - Mathura),Mathura,Surir,Surir Cut,Fatal,3,6,Fog Multi-Vehicle Crash,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit,YE_MAIN_SB_091,87.524,88.516,motorway,27.719515729961543,77.72788578720785,0.0,DETERMINISTIC_CHAINAGE_INTERPOLATION,HIGH_CONFIDENCE
